4,23
5,28512
6,18014
7,11946
8,8101
9,6064
10,4576
11,3508
12,2774
13,2163
14,1820
15,1521
16,1196
17,1030
18,878
19,747
20,662
21,568
22,469
23,423
24,359
25,350
26,298
27,280
28,252
29,246
30,204
31,192
32,172
33,156
34,143
35,128
36,109
37,134
38,94
39,97
40,92
41,78
42,56
43,78
44,65
45,47
46,46
47,55
48,45
49,45
50,47
51,41
52,52
53,35
54,27
55,29
56,18
57,36
58,36
59,30
60,18
61,23
62,23
63,24
64,18
65,25
66,18
67,20
68,26
69,20
70,18
71,23
72,18
73,13
74,14
75,17
76,15
77,13
78,19
79,13
80,12
81,14
82,11
83,6
84,12
85,8
86,10
87,7
88,9
89,10
90,11
91,8
92,4
93,8
94,8
95,3
96,5
97,4
98,5
99,5
100,9
101,4
102,7
103,13
104,2
105,5
106,5
107,3
108,3
109,5
110,6
111,1
112,3
113,6
114,7
115,4
116,2
117,5
118,3
119,3
120,3
121,2
122,2
123,4
124,3
125,5
126,2
127,4
129,2
130,3
131,5
134,2
135,4
137,6
138,3
139,1
140,3
141,2
142,2
143,3
144,3
146,2
148,3
149,1
150,2
151,4
157,3
158,2
159,1
160,2
163,1
164,1
165,1
166,2
168,1
172,2
173,2
175,1
176,1
178,2
179,1
180,2
181,1
182,4
184,2
185,1
188,2
191,1
192,2
193,4
194,2
197,2
198,1
199,4
201,2
202,1
203,1
204,2
211,1
213,1
214,1
215,1
217,3
222,1
223,1
229,1
236,1
237,1
239,1
240,1
241,2
245,1
246,1
249,1
251,1
252,2
257,1
265,1
271,1
273,2
275,1
276,1
277,1
281,1
285,1
292,1
297,1
299,1
321,1
328,1
334,1
339,1
341,1
345,1
346,1
352,1
359,1
365,1
370,1
391,2
398,1
408,1
420,1
437,1
442,1
475,1
478,1
499,1
527,1
548,1
568,1
715,1
738,1
781,1
819,1
852,1
1090,1
4318,1
