4,14
5,2862
6,1802
7,1171
8,823
9,654
10,435
11,324
12,290
13,200
14,190
15,135
16,132
17,104
18,85
19,80
20,66
21,57
22,52
23,45
24,33
25,33
26,32
27,23
28,19
29,25
30,21
31,13
32,18
33,9
34,15
35,14
36,12
37,12
38,13
39,6
40,6
41,7
42,6
43,9
44,10
45,3
46,1
47,9
48,9
49,6
50,6
51,3
52,2
53,1
54,6
55,3
56,2
57,4
58,3
59,4
60,5
62,1
63,2
64,3
66,3
67,1
69,1
70,3
71,3
72,5
73,2
74,2
75,1
76,1
77,1
78,2
80,2
81,1
82,1
84,2
85,3
87,1
88,2
89,1
92,1
97,1
98,1
100,1
102,1
103,1
105,1
106,1
110,1
111,2
112,2
113,2
116,1
130,1
143,1
144,2
151,1
170,1
172,1
194,1
200,1
202,1
203,1
293,1
341,1
431,1
455,1
1099,1
